"","age_ce","estimate","lower_ci","upper_ci"
"315",314,-0.330416445034971,-0.616932533620678,-0.0439003564492642
"316",315,-0.330408239362253,-0.616656272677567,-0.0441602060469399
"317",316,-0.330400033689536,-0.616380011734456,-0.0444200556446156
"318",317,-0.330391828016818,-0.616103750791346,-0.0446799052422914
"319",318,-0.330383622344101,-0.615827489848235,-0.0449397548399671
"320",319,-0.330375416671383,-0.615551228905124,-0.0451996044376429
"321",320,-0.330367210998666,-0.615274967962013,-0.0454594540353186
"322",321,-0.330359005325948,-0.614998707018903,-0.0457193036329943
"323",322,-0.330350799653231,-0.614722446075792,-0.0459791532306701
"324",323,-0.330342593980513,-0.614446185132681,-0.0462390028283458
"325",324,-0.330334388307796,-0.61416992418957,-0.0464988524260216
"326",325,-0.330326182635078,-0.61389366324646,-0.0467587020236973
"327",326,-0.330317976962361,-0.613617402303349,-0.047018551621373
"328",327,-0.330309771289643,-0.613341141360238,-0.0472784012190488
"329",328,-0.330460546089682,-0.613241241714249,-0.0476798505122929
"330",329,-0.330625830943389,-0.613157438459483,-0.0480942235259566
"331",330,-0.330791115797096,-0.613073635204717,-0.0485085965396203
"332",331,-0.330956400650803,-0.61298983194995,-0.0489229695532841
"333",332,-0.33112168550451,-0.612906028695184,-0.0493373425669478
"334",333,-0.331286970358216,-0.612822225440418,-0.0497517155806115
"335",334,-0.331452255211923,-0.612738422185651,-0.0501660885942752
"336",335,-0.33161754006563,-0.612654618930885,-0.0505804616079389
"337",336,-0.331782824919337,-0.612570815676119,-0.0509948346216026
"338",337,-0.331948109773044,-0.612487012421352,-0.0514092076352664
"339",338,-0.332113394626751,-0.612403209166586,-0.0518235806489301
"340",339,-0.332278679480458,-0.61231940591182,-0.0522379536625938
"341",340,-0.332443964334164,-0.612235602657053,-0.0526523266762575
"342",341,-0.332609249187871,-0.612151799402287,-0.0530666996899212
"343",342,-0.332774534041578,-0.61206799614752,-0.0534810727035849
"344",343,-0.332939818895285,-0.611984192892754,-0.0538954457172486
"345",344,-0.333105103748992,-0.611900389637988,-0.0543098187309124
"346",345,-0.333270388602699,-0.611816586383221,-0.0547241917445761
"347",346,-0.333435673456406,-0.611732783128455,-0.0551385647582398
"348",347,-0.333676206295874,-0.611732282812037,-0.0556201307289769
"349",348,-0.333994208548388,-0.611817544654876,-0.056170873288197
"350",349,-0.334312210800901,-0.611902806497715,-0.0567216158474171
"351",350,-0.334630213053414,-0.611988068340555,-0.0572723584066372
"352",351,-0.334948215305928,-0.612073330183394,-0.0578231009658574
"353",352,-0.335266217558441,-0.612158592026233,-0.0583738435250775
"354",353,-0.335584219810954,-0.612243853869073,-0.0589245860842976
"355",354,-0.335902222063468,-0.612329115711912,-0.0594753286435177
"356",355,-0.336220224315981,-0.612414377554751,-0.0600260712027378
"357",356,-0.336538226568495,-0.61249963939759,-0.060576813761958
"358",357,-0.336856228821008,-0.61258490124043,-0.0611275563211781
"359",358,-0.337174231073521,-0.612670163083269,-0.0616782988803982
"360",359,-0.337492233326035,-0.612755424926108,-0.0622290414396183
"361",360,-0.337810235578548,-0.612840686768948,-0.0627797839988384
"362",361,-0.338128237831062,-0.612925948611787,-0.0633305265580585
"363",362,-0.338446240083575,-0.613011210454626,-0.0638812691172786
"364",363,-0.338764242336088,-0.613096472297466,-0.0644320116764988
"365",364,-0.339082244588602,-0.613181734140305,-0.0649827542357189
"366",365,-0.339400246841115,-0.613266995983144,-0.065533496794939
"367",366,-0.339726817786707,-0.613361660364601,-0.0660919742123705
"368",367,-0.340168840433754,-0.613583011403098,-0.0667546685194508
"369",368,-0.340610863080801,-0.613804362441596,-0.0674173628265311
"370",369,-0.341052885727849,-0.614025713480094,-0.0680800571336114
"371",370,-0.341494908374896,-0.614247064518591,-0.0687427514406917
"372",371,-0.341936931021943,-0.614468415557089,-0.069405445747772
"373",372,-0.34237895366899,-0.614689766595587,-0.0700681400548523
"374",373,-0.342820976316037,-0.614911117634084,-0.0707308343619326
"375",374,-0.343262998963084,-0.615132468672582,-0.071393528669013
"376",375,-0.343705021610131,-0.61535381971108,-0.0720562229760933
"377",376,-0.344147044257179,-0.615575170749577,-0.0727189172831735
"378",377,-0.344589066904226,-0.615796521788075,-0.0733816115902539
"379",378,-0.345031089551273,-0.616017872826572,-0.0740443058973342
"380",379,-0.34547311219832,-0.61623922386507,-0.0747070002044145
"381",380,-0.345915134845367,-0.616460574903568,-0.0753696945114948
"382",381,-0.346357157492414,-0.616681925942065,-0.0760323888185751
"383",382,-0.346799180139461,-0.616903276980563,-0.0766950831256554
"384",383,-0.347241202786508,-0.617124628019061,-0.0773577774327357
"385",384,-0.347683225433556,-0.617345979057558,-0.078020471739816
"386",385,-0.348125248080603,-0.617567330096056,-0.0786831660468963
"387",386,-0.348623542853152,-0.61784787926954,-0.079399206436763
"388",387,-0.349152747605073,-0.618160945663851,-0.080144549546295
"389",388,-0.349681952356995,-0.618474012058163,-0.0808898926558269
"390",389,-0.350211157108916,-0.618787078452474,-0.0816352357653589
"391",390,-0.350740361860838,-0.619100144846785,-0.0823805788748908
"392",391,-0.35126956661276,-0.619413211241096,-0.0831259219844228
"393",392,-0.351798771364681,-0.619726277635407,-0.0838712650939547
"394",393,-0.352327976116603,-0.620039344029719,-0.0846166082034867
"395",394,-0.352857180868524,-0.62035241042403,-0.0853619513130186
