sitename,depth,age,age_ce,taxa,value,elementtype,ecologicalgroup,group
Caldeirão Connor,277,8032,-6082,Rubiaceae,1,pollen,TRSH,Shrub
Caldeirão Connor,285,11032,-9082,Rubiaceae,1,pollen,TRSH,Shrub
Caldeirão Connor,30,11,1939,Rubus,1,pollen,TRSH,Shrub
Caldeirão Connor,285,11032,-9082,Rubus,1,pollen,TRSH,Shrub
Caldeirão Connor,10,-42,1992,Rumex acetosella,2,pollen,UPHE,Herb
Caldeirão Connor,20,-16,1966,Rumex acetosella,4,pollen,UPHE,Herb
Caldeirão Connor,30,11,1939,Rumex acetosella,2,pollen,UPHE,Herb
Caldeirão Connor,40,39,1911,Rumex acetosella,11,pollen,UPHE,Herb
Caldeirão Connor,50,66,1884,Rumex acetosella,9,pollen,UPHE,Herb
Caldeirão Connor,60,94,1856,Rumex acetosella,9,pollen,UPHE,Herb
Caldeirão Connor,65,107,1843,Rumex acetosella,6,pollen,UPHE,Herb
Caldeirão Connor,70,123,1827,Rumex acetosella,16,pollen,UPHE,Herb
Caldeirão Connor,75,140,1810,Rumex acetosella,4,pollen,UPHE,Herb
Caldeirão Connor,80,156,1794,Rumex acetosella,1,pollen,UPHE,Herb
Caldeirão Connor,85,173,1777,Rumex acetosella,1,pollen,UPHE,Herb
Caldeirão Connor,90,190,1760,Rumex acetosella,1,pollen,UPHE,Herb
Caldeirão Connor,125,309,1641,Rumex acetosella,2,pollen,UPHE,Herb
Caldeirão Connor,135,343,1607,Rumex acetosella,1,pollen,UPHE,Herb
Caldeirão Connor,20,-16,1966,Rumex obtusifolius,1,pollen,UPHE,Herb
Caldeirão Connor,40,39,1911,Rumex obtusifolius,1,pollen,UPHE,Herb
Caldeirão Connor,80,156,1794,Rumex obtusifolius,1,pollen,UPHE,Herb
Caldeirão Connor,100,225,1725,Rumex obtusifolius,1,pollen,UPHE,Herb
Caldeirão Connor,120,293,1657,Rumex obtusifolius,1,pollen,UPHE,Herb
Caldeirão Connor,140,360,1590,Rumex obtusifolius,1,pollen,UPHE,Herb
Caldeirão Connor,20,-16,1966,Sagina,1,pollen,UPHE,Herb
Caldeirão Connor,40,39,1911,Sagina,2,pollen,UPHE,Herb
Caldeirão Connor,60,94,1856,Sagina,2,pollen,UPHE,Herb
Caldeirão Connor,65,107,1843,Sagina,1,pollen,UPHE,Herb
Caldeirão Connor,70,123,1827,Sagina,1,pollen,UPHE,Herb
Caldeirão Connor,75,140,1810,Sagina,2,pollen,UPHE,Herb
Caldeirão Connor,80,156,1794,Sagina,1,pollen,UPHE,Herb
Caldeirão Connor,85,173,1777,Sagina,5,pollen,UPHE,Herb
Caldeirão Connor,90,190,1760,Sagina,12,pollen,UPHE,Herb
Caldeirão Connor,95,208,1742,Sagina,7,pollen,UPHE,Herb
Caldeirão Connor,100,225,1725,Sagina,7,pollen,UPHE,Herb
Caldeirão Connor,105,242,1708,Sagina,1,pollen,UPHE,Herb
Caldeirão Connor,110,259,1691,Sagina,6,pollen,UPHE,Herb
Caldeirão Connor,115,276,1674,Sagina,2,pollen,UPHE,Herb
Caldeirão Connor,120,293,1657,Sagina,3,pollen,UPHE,Herb
Caldeirão Connor,125,309,1641,Sagina,2,pollen,UPHE,Herb
Caldeirão Connor,130,327,1623,Sagina,4,pollen,UPHE,Herb
Caldeirão Connor,135,343,1607,Sagina,1,pollen,UPHE,Herb
Caldeirão Connor,140,360,1590,Sagina,1,pollen,UPHE,Herb
Caldeirão Connor,145,378,1572,Sagina,1,pollen,UPHE,Herb
Caldeirão Connor,30,11,1939,Salix,1,pollen,TRSH,Tree
Caldeirão Connor,70,123,1827,Sambucus,3,pollen,TRSH,Shrub
Caldeirão Connor,70,123,1827,Scabiosa,1,pollen,UPHE,Herb
Caldeirão Connor,75,140,1810,Scabiosa,1,pollen,UPHE,Herb
Caldeirão Connor,80,156,1794,Scabiosa,1,pollen,UPHE,Herb
Caldeirão Connor,85,173,1777,Scabiosa,1,pollen,UPHE,Herb
Caldeirão Connor,90,190,1760,Scabiosa,1,pollen,UPHE,Herb
Caldeirão Connor,95,208,1742,Scabiosa,1,pollen,UPHE,Herb
Caldeirão Connor,145,378,1572,Scabiosa,1,pollen,UPHE,Herb
Caldeirão Connor,185,526,1424,Scabiosa,1,pollen,UPHE,Herb
Caldeirão Connor,285,11032,-9082,Scabiosa,1,pollen,UPHE,Herb
Caldeirão Connor,295,11823,-9873,Scabiosa,1,pollen,UPHE,Herb
Caldeirão Connor,70,123,1827,Schoenoplectus lacustris,1,pollen,AQVP,Aquatic
Caldeirão Connor,65,107,1843,Scrophularia,1,pollen,UPHE,Herb
Caldeirão Connor,95,208,1742,Scrophularia,1,pollen,UPHE,Herb
Caldeirão Connor,110,259,1691,Scrophularia,1,pollen,UPHE,Herb
Caldeirão Connor,115,276,1674,Scrophularia,1,pollen,UPHE,Herb
Caldeirão Connor,180,501,1449,Scrophularia,1,pollen,UPHE,Herb
Caldeirão Connor,200,3497,-1547,Scrophularia,1,pollen,UPHE,Herb
Caldeirão Connor,70,123,1827,Secale,1,pollen,UPHE,Herb
Caldeirão Connor,80,156,1794,Secale,1,pollen,UPHE,Herb
Caldeirão Connor,125,309,1641,Secale,1,pollen,UPHE,Herb
Caldeirão Connor,130,327,1623,Secale,1,pollen,UPHE,Herb
Caldeirão Connor,10,-42,1992,Selaginella kraussiana,3,spore,VACR,Fern
Caldeirão Connor,20,-16,1966,Selaginella kraussiana,10,spore,VACR,Fern
Caldeirão Connor,40,39,1911,Selaginella kraussiana,2,spore,VACR,Fern
Caldeirão Connor,50,66,1884,Selaginella kraussiana,3,spore,VACR,Fern
Caldeirão Connor,60,94,1856,Selaginella kraussiana,39,spore,VACR,Fern
Caldeirão Connor,65,107,1843,Selaginella kraussiana,4,spore,VACR,Fern
Caldeirão Connor,70,123,1827,Selaginella kraussiana,102,spore,VACR,Fern
Caldeirão Connor,75,140,1810,Selaginella kraussiana,17,spore,VACR,Fern
Caldeirão Connor,80,156,1794,Selaginella kraussiana,34,spore,VACR,Fern
Caldeirão Connor,85,173,1777,Selaginella kraussiana,42,spore,VACR,Fern
Caldeirão Connor,90,190,1760,Selaginella kraussiana,47,spore,VACR,Fern
Caldeirão Connor,95,208,1742,Selaginella kraussiana,14,spore,VACR,Fern
Caldeirão Connor,100,225,1725,Selaginella kraussiana,22,spore,VACR,Fern
Caldeirão Connor,105,242,1708,Selaginella kraussiana,29,spore,VACR,Fern
Caldeirão Connor,110,259,1691,Selaginella kraussiana,33,spore,VACR,Fern
Caldeirão Connor,115,276,1674,Selaginella kraussiana,29,spore,VACR,Fern
Caldeirão Connor,120,293,1657,Selaginella kraussiana,15,spore,VACR,Fern
Caldeirão Connor,125,309,1641,Selaginella kraussiana,27,spore,VACR,Fern
Caldeirão Connor,130,327,1623,Selaginella kraussiana,35,spore,VACR,Fern
Caldeirão Connor,135,343,1607,Selaginella kraussiana,6,spore,VACR,Fern
Caldeirão Connor,140,360,1590,Selaginella kraussiana,20,spore,VACR,Fern
Caldeirão Connor,145,378,1572,Selaginella kraussiana,22,spore,VACR,Fern
Caldeirão Connor,150,394,1556,Selaginella kraussiana,4,spore,VACR,Fern
Caldeirão Connor,155,411,1539,Selaginella kraussiana,2,spore,VACR,Fern
Caldeirão Connor,160,428,1522,Selaginella kraussiana,1,spore,VACR,Fern
Caldeirão Connor,165,445,1505,Selaginella kraussiana,4,spore,VACR,Fern
Caldeirão Connor,170,462,1488,Selaginella kraussiana,1,spore,VACR,Fern
Caldeirão Connor,175,479,1471,Selaginella kraussiana,2,spore,VACR,Fern
Caldeirão Connor,180,501,1449,Selaginella kraussiana,68,spore,VACR,Fern
Caldeirão Connor,185,526,1424,Selaginella kraussiana,173,spore,VACR,Fern
Caldeirão Connor,190,2724,-774,Selaginella kraussiana,156,spore,VACR,Fern
Caldeirão Connor,195,3145,-1195,Selaginella kraussiana,78,spore,VACR,Fern
Caldeirão Connor,200,3497,-1547,Selaginella kraussiana,112,spore,VACR,Fern
Caldeirão Connor,205,3743,-1793,Selaginella kraussiana,3,spore,VACR,Fern
Caldeirão Connor,210,3941,-1991,Selaginella kraussiana,11,spore,VACR,Fern
Caldeirão Connor,215,4093,-2143,Selaginella kraussiana,3,spore,VACR,Fern
Caldeirão Connor,225,4397,-2447,Selaginella kraussiana,1,spore,VACR,Fern
Caldeirão Connor,230,4553,-2603,Selaginella kraussiana,1,spore,VACR,Fern
Caldeirão Connor,250,5188,-3238,Selaginella kraussiana,1,spore,VACR,Fern
Caldeirão Connor,255,5341,-3391,Selaginella kraussiana,1,spore,VACR,Fern
Caldeirão Connor,260,5440,-3490,Selaginella kraussiana,7,spore,VACR,Fern
Caldeirão Connor,265,5557,-3607,Selaginella kraussiana,2,spore,VACR,Fern
Caldeirão Connor,270,5832,-3882,Selaginella kraussiana,6,spore,VACR,Fern
Caldeirão Connor,277,8032,-6082,Selaginella kraussiana,4,spore,VACR,Fern
Caldeirão Connor,280,9532,-7582,Selaginella kraussiana,3,spore,VACR,Fern
Caldeirão Connor,285,11032,-9082,Selaginella kraussiana,1,spore,VACR,Fern
Caldeirão Connor,120,293,1657,Silene dioica,1,pollen,UPHE,Herb
Caldeirão Connor,145,378,1572,Silene dioica,1,pollen,UPHE,Herb
