lake,core_depth_id,age_bp,age_ce,high_profile,low_profile,motile,euplanktonic,algivore,detritivore,plantivore,predator
Caveiro,CVL_1B_400,36,1914,0.66300366,0.21794872,0.11538462,0.003663,0.90196078,0,0.05882353,0.03921569
Caveiro,CVL_1B_100,15,1935,0.50841121,0.37009346,0.11962617,0.00186916,0.88983051,0,0.06779661,0.04237288
Caveiro,CVL_1B_150,15,1935,0.44277674,0.41275797,0.14446529,0,0.88983051,0,0.06779661,0.04237288
Caveiro,CVL_1B_200,15,1935,0.50194553,0.37937743,0.11478599,0.00389105,0.88983051,0,0.06779661,0.04237288
Caveiro,CVL_1B_250,15,1935,0.65748031,0.23425197,0.10826772,0,0.88983051,0,0.06779661,0.04237288
Caveiro,CVL_1B_300,15,1935,0.63401109,0.26247689,0.10351201,0,0.88983051,0,0.06779661,0.04237288
Caveiro,CVL_1B_350,15,1935,0.64485981,0.25794393,0.09345794,0.00373832,0.88983051,0,0.06779661,0.04237288
Caveiro,CVL_1B_50,-20,1970,0.49320388,0.38446602,0.1184466,0.0038835,0.87671233,0,0.07534247,0.04794521
Caveiro,CVL_1B_0,-66,2016,0.5815739,0.31861804,0.09980806,0,0.86740331,0,0.08287293,0.04972376
Empadadas Norte,EN_04_222,542.286483,1407.71352,0.82365145,0.14107884,0.03526971,0,0.85138539,0.00755668,0.01763224,0.12342569
Empadadas Norte,EN_04_221,537.104068,1412.89593,0.80522088,0.14056225,0.05421687,0,0.87189293,0.00382409,0.02676864,0.09751434
Empadadas Norte,EN_04_220,531.809286,1418.19071,0.79330709,0.13385827,0.07283465,0,0.86666667,0.00952381,0.03809524,0.08571429
Empadadas Norte,EN_04_219,526.395159,1423.60484,0.77504726,0.13799622,0.08695652,0,0.86428571,0.01428571,0.03333333,0.08809524
Empadadas Norte,EN_04_218,520.85471,1429.14529,0.70384615,0.18076923,0.11538462,0,0.88,0.00923077,0.03230769,0.07846154
Empadadas Norte,EN_04_217,515.180962,1434.81904,0.74685817,0.13285458,0.12028725,0,0.85856905,0.00831947,0.03327787,0.09983361
Empadadas Norte,EN_04_216,509.366937,1440.63306,0.81399046,0.07949126,0.10492846,0.00158983,0.89356436,0.00742574,0.02970297,0.06930693
Empadadas Norte,EN_04_215,503.405658,1446.59434,0.68165468,0.15107914,0.16726619,0,0.88461538,0.0018315,0.04945055,0.06410256
Empadadas Norte,EN_04_214,497.290147,1452.70985,0.67504836,0.18181818,0.14313346,0,0.87852495,0.0021692,0.03253796,0.0867679
Empadadas Norte,EN_04_213,491.013427,1458.98657,0.42746615,0.21470019,0.35783366,0,0.84520124,0.00619195,0.04024768,0.10835913
Empadadas Norte,EN_04_212,484.56852,1465.43148,0.52873563,0.23371648,0.23754789,0,0.86569579,0.00809061,0.0210356,0.10517799
Empadadas Norte,EN_04_211,477.94845,1472.05155,0.50867052,0.29479769,0.19653179,0,0.8405467,0,0.04328018,0.11617312
Empadadas Norte,EN_04_210,471.146237,1478.85376,0.5146771,0.26223092,0.22309198,0,0.85163205,0,0.05934718,0.08902077
Empadadas Norte,EN_04_209,464.154906,1485.84509,0.58039216,0.21764706,0.20196078,0,0.84074074,0.00555556,0.04259259,0.11111111
Empadadas Norte,EN_04_208,456.967478,1493.03252,0.5443787,0.25443787,0.20118343,0,0.85911602,0.00828729,0.04696133,0.08563536
Empadadas Norte,EN_04_207,449.577346,1500.42265,0.48732943,0.29434698,0.21832359,0,0.85714286,0.00702576,0.0234192,0.11241218
Empadadas Norte,EN_04_206,441.986402,1508.0136,0.582846,0.2202729,0.19688109,0,0.83235294,0.00294118,0.03823529,0.12647059
Empadadas Norte,EN_04_205,434.205035,1515.79497,0.71115538,0.14741036,0.14143426,0,0.84615385,0.01538462,0.05384615,0.08461538
Empadadas Norte,EN_04_204,426.244008,1523.75599,0.61931818,0.16477273,0.21590909,0,0.85217391,0.0173913,0.04782609,0.0826087
Empadadas Norte,EN_04_203,418.114081,1531.88592,0.5615942,0.16485507,0.27355072,0,0.88327526,0.00522648,0.02961672,0.08188153
Empadadas Norte,EN_04_202,409.826014,1540.17399,0.66480447,0.12104283,0.2141527,0,0.88038278,0,0.01913876,0.10047847
Empadadas Norte,EN_04_201,401.390568,1548.60943,0.71641791,0.09141791,0.19216418,0,0.83333333,0.00490196,0.04411765,0.11764706
Empadadas Norte,EN_04_200,392.818505,1557.1815,0.72,0.11428571,0.16571429,0,0.84224599,0.0026738,0.04545455,0.10962567
Empadadas Norte,EN_04_199,384.120584,1565.87942,0.765286,0.11439842,0.12031558,0,0.86666667,0.00430108,0.04086022,0.08817204
Empadadas Norte,EN_04_198,375.307566,1574.69243,0.75146771,0.1409002,0.10763209,0,0.85604113,0.00514139,0.03084833,0.10796915
Empadadas Norte,EN_04_197,366.390213,1583.60979,0.7254902,0.18431373,0.09019608,0,0.825,0.05,0.025,0.1
Empadadas Norte,EN_04_196,357.379284,1592.62072,0.78388998,0.13555992,0.0805501,0,0.77514793,0.0295858,0.0295858,0.16568047
Empadadas Norte,EN_04_195,348.285541,1601.71446,0.80626223,0.11350294,0.08023483,0,0.79844961,0,0.04651163,0.15503876
Empadadas Norte,EN_04_194,339.119745,1610.88026,0.8463035,0.06809339,0.08560311,0,0.81714286,0,0.03428571,0.14857143
Empadadas Norte,EN_04_193,329.892655,1620.10735,0.80582524,0.09514563,0.09902913,0,0.75824176,0,0.01098901,0.23076923
Empadadas Norte,EN_04_192,320.615032,1629.38497,0.77325581,0.11821705,0.10852713,0,0.84615385,0.01538462,0.01538462,0.12307692
Empadadas Norte,EN_04_191,311.297639,1638.70236,0.74513619,0.11089494,0.14396887,0,0.88297872,0,0,0.11702128
Empadadas Norte,EN_04_190,301.951234,1648.04877,0.70873786,0.1184466,0.17281553,0,0.85276074,0.00920245,0.00613497,0.13190184
Empadadas Norte,EN_04_189,292.586579,1657.41342,0.68627451,0.14901961,0.16470588,0,0.81974249,0.00429185,0.01287554,0.16309013
Empadadas Norte,EN_04_188,283.214434,1666.78557,0.65019763,0.17391304,0.17588933,0,0.89547038,0.00348432,0.01393728,0.08710801
Empadadas Norte,EN_04_187,273.845561,1676.15444,0.6515748,0.21456693,0.13385827,0,0.8392283,0,0.01286174,0.14790997
Empadadas Norte,EN_04_186,264.49072,1685.50928,0.65422397,0.25343811,0.09233792,0,0.86363636,0,0.00284091,0.13352273
Empadadas Norte,EN_04_185,255.160671,1694.83933,0.62109375,0.27148438,0.10742188,0,0.85051546,0,0.0257732,0.12371134
Empadadas Norte,EN_04_184,245.866175,1704.13383,0.60271318,0.29651163,0.10077519,0,0.84337349,0,0.00803213,0.14859438
