age_ce,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,Rmean,Rmed
95,-0.3540888,-0.608544,-0.6067655,-1.1462922,-0.338,-0.3679396,-0.7823115,-0.34,-0.4317871,-0.3766783,-0.4521688,-0.459,-0.20091,-0.8371614,-0.4672159,-0.5179242,-0.4521688
96,-0.0506065,-0.4891165,-0.5052795,-0.6301379,-0.398,-0.2221828,-0.6234643,-0.26,-0.0564049,0.0275062,-0.2553869,-0.414,0.097818,-0.8823151,-0.202255,-0.324255,-0.26
97,0.27000723,-0.4176885,-0.3938409,-1.4151816,-0.554,-0.1387917,-0.6771525,-0.26,-0.0107268,0.1056301,-0.2222254,-0.379,0.30263,-0.8154283,-0.1793331,-0.3190068,-0.26
98,-0.4084345,-0.7445993,-0.6650568,-1.1409116,0.034,-0.3657296,-0.6195018,-0.26,-0.2801764,-0.5635883,-0.5083502,-0.591,-0.37885,-0.7614791,-0.4564231,-0.5140067,-0.5083502
99,0.37521182,-0.3575874,-0.4627601,-0.8285591,-0.056,-0.1843597,-0.4959033,0.06,0.17726134,0.09600796,-0.1963112,-0.392,0.048436,-0.6453418,-0.0812146,-0.196208,-0.1843597
100,0.18745583,-0.52323,-0.5891837,-1.6539038,-0.268,-0.1871744,-0.5191203,0.02,-0.1012388,-0.1041008,-0.291115,-0.47,-0.21405,-0.6971453,-0.2566481,-0.3778303,-0.268
101,0.14144932,-0.3942608,-0.4398864,-1.4419163,-0.32,-0.2733569,-0.4642663,-0.03,0.26701178,-0.0428964,-0.2049987,-0.495,-0.069822,-0.8875817,-0.1961157,-0.3234427,-0.2733569
102,-0.0850116,-0.4995861,-0.5485635,-1.5503876,-0.129,-0.2963777,-0.4857399,0.16,0.02751859,-0.2174132,-0.313153,-0.515,-0.30463,-0.8909198,-0.3026193,-0.3967255,-0.30463
103,-0.0580783,-0.4661642,-0.3694159,-1.1139135,0.171,-0.2485795,-0.5010277,-0.02,0.02976268,0.00441542,-0.2120623,-0.442,0.00046921,-0.8055925,-0.2491098,-0.2853531,-0.2485795
104,0.08068231,-0.4016278,-0.4244663,-0.5922588,0.08,-0.2407434,-0.4409991,-0.18,0.08744045,0.0692068,-0.1789834,-0.329,0.13476,-0.6506194,-0.1556221,-0.2094821,-0.18
105,0.31900214,-0.2226523,-0.3415218,-0.7928074,-0.138,-0.1565267,-0.3791798,-0.03,0.46554241,0.28565936,-0.0524779,-0.317,0.36428,-0.7652046,-0.0307583,-0.119443,-0.138
106,-0.2407723,-0.5527512,-0.840214,-1.0618223,-0.116,-0.3821336,-0.5504961,-0.16,-0.0027,-0.6330681,-0.4554704,-0.506,-0.56711,-0.6941878,-0.1648022,-0.4618352,-0.506
107,0.26939357,-0.205651,-0.2987799,-0.7917009,0.048,-0.1211754,-0.3859566,-0.2,0.24882916,0.43222631,-0.0027438,-0.338,0.31857,-0.6487489,-0.0751661,-0.1167269,-0.1211754
108,-0.0561429,-0.347105,-0.4873234,-0.8539194,-0.286,-0.2466172,-0.4933346,0.17,0.20211128,0.09146467,-0.1693069,-0.403,-0.071912,-0.8028161,-0.0604582,-0.2542907,-0.2466172
109,-0.0129829,-0.5451625,-0.7357824,-1.0263881,-0.157,-0.3400783,-0.5480327,-0.15,-0.1751275,-0.4824106,-0.439542,-0.5,-0.46246,-0.8473575,-0.2155827,-0.4425271,-0.46246
110,0.08067667,-0.392083,-0.3519886,-1.305615,0.291,-0.2708048,-0.5191401,0.02,-0.0224397,0.05227129,-0.1867196,-0.42,-0.27944,-0.6826818,-0.1097065,-0.2731114,-0.2708048
111,0.06680118,-0.2534402,-0.5722674,-0.824174,-0.211,-0.2106729,-0.4686377,-0.28,0.23660734,0.20803425,-0.1061512,-0.258,-0.20511,-0.6873935,0.01119307,-0.2369474,-0.211
112,-0.0661723,-0.4521304,-0.6863591,-1.4469422,-0.263,-0.3235261,-0.5589123,0.09,0.00962331,-0.3587083,-0.4100894,-0.472,-0.66095,-0.6894078,-0.1356784,-0.4282835,-0.4100894
113,0.14980876,-0.4045398,-0.6011678,-1.173798,0.008,-0.2439681,-0.541753,0.13,0.03975195,-0.0739744,-0.3021214,-0.405,-0.4919,-0.6671857,-0.0516613,-0.3086339,-0.3021214
114,0.03906065,-0.3317173,-0.510833,-0.9660861,0.062,-0.2981906,-0.4969558,0.58,0.27155619,-0.0471705,-0.2198788,-0.282,-0.23015,-0.7099164,-0.1197795,-0.2173374,-0.23015
115,-0.2611478,-0.3413377,-0.604789,-0.1007635,0.207,-0.2883642,-0.3851317,0.44,0.33908383,0.01941926,-0.2067487,-0.317,-0.098348,-0.7990903,-0.1284211,-0.1683759,-0.2067487
116,0.38940639,-0.1388865,-0.2935606,-0.3252489,-0.026,-0.1327963,-0.3110977,0.02,0.39643782,0.41292771,-0.0581735,-0.161,0.14295,-0.5306278,-0.0670219,-0.0455128,-0.0670219
117,0.07433577,-0.3664736,-0.6403116,-1.1127097,-0.389,-0.2229648,-0.4281032,0.15,0.30017297,-0.0498897,-0.271041,-0.372,-0.34603,-0.6967332,-0.1617777,-0.3021684,-0.34603
118,-0.2037709,-0.6339064,-0.7722295,-1.1078836,-0.258,-0.2870091,-0.5356355,-0.16,-0.0399055,-0.2242561,-0.4071116,-0.435,-0.45751,-0.7161035,-0.1864362,-0.4283172,-0.4071116
119,-0.0638597,-0.5524808,-0.6750528,-1.4816009,-0.141,-0.2925467,-0.5836659,-0.11,-0.0074247,-0.1704749,-0.3551903,-0.41,-0.73171,-0.8344359,-0.0495081,-0.4305967,-0.3551903
120,0.1595456,-0.2675244,-0.4272407,-0.8510393,0.075,-0.1594082,-0.4375174,-0.27,0.41323502,0.34134593,-0.0930631,-0.331,-0.16792,-0.7101369,0.06080427,-0.1776613,-0.16792
121,0.16927891,-0.2100755,-0.3691356,0.25069516,-0.148,-0.1886561,-0.2930165,-0.38,0.52384758,0.38963695,-0.0533515,-0.255,0.19656,-0.8721119,-0.0500687,-0.0859598,-0.148
122,0.05566071,-0.4338514,-0.4158797,-1.2349834,-0.578,-0.2083704,-0.4440832,-0.32,0.19375979,0.06910186,-0.2203607,-0.372,-0.2692,-0.7862342,-0.236958,-0.3467599,-0.32
123,0.20324353,-0.605175,-0.6600471,-1.5491464,-0.215,-0.2810157,-0.6014169,-0.02,-0.2061189,-0.2614852,-0.4495511,-0.503,-0.65786,-0.6955222,-0.1427195,-0.4429876,-0.4495511
124,-0.4138329,-0.6515726,-0.8028427,-0.9564949,-0.121,-0.3425179,-0.621872,-0.06,-0.1037387,-0.4347906,-0.4596362,-0.519,-0.8094,-0.7213439,-0.072583,-0.4727084,-0.4596362
